University,Domain,Latitude,Longitude,City,Region,Country
ETH Zurich,www.ethz.ch,47.4132180,8.5374914,Zürich,Zürich,Schweiz/Suisse/Svizzera/Svizra
University of Berlin,www.fu-berlin.de,40.7294161,-74.0008633,City of New York,New York,United States
Gonzaga University,www.gonzaga.edu,47.6671025,-117.4030546,Spokane,Washington,United States
Harvard University,www.harvard.edu,42.3657432,-71.1222139,Cambridge,Massachusetts,United States
Harvey Mudd College,www.hmc.edu,34.1061401,-117.7087284,Claremont,California,United States
Indian Institute of Technology Madras,www.iitm.ac.in,12.9941561,80.2366826,,Tamil Nadu,India
King's College London,www.kcl.ac.uk,51.5030855,-0.0900021,London,England,United Kingdom
Kyoto University,www.kyoto-u.ac.jp,35.0229299,135.7771490,Kyoto,,Japan
National Autonomous University of Mexico,www.unam.mx,19.3215970,-99.1849259,Ciudad de México,Ciudad de México,México
National University of Singapore,www.nus.edu.sg,1.2962018,103.7768977,Singapore,,Singapore
Sorbonne University,www.sorbonne-universite.fr,48.8468997,2.3574487,Paris,France métropolitaine,France
Tsinghua University,www.tsinghua.edu.cn,40.0022905,116.3209630,Beijing,,China
University of Barcelona,www.ub.edu,41.3868596,2.1634784,Barcelona,Catalunya,España
University of British Columbia,www.ubc.ca,49.2578915,-123.2429755,Electoral Area A,British Columbia,Canada
"University of California, Los Angeles",www.ucla.edu,34.0198321,-118.2780639,Los Angeles,California,United States
University of Cambridge,www.cam.ac.uk,52.2109456,0.0920050,Cambridge,England,United Kingdom
University of Melbourne,www.unimelb.edu.au,-37.8241371,144.9170886,Melbourne,Victoria,Australia
University of North Dakota,www.und.edu,47.9265412,-97.0721209,Grand Forks,North Dakota,United States
University of Oxford,www.ox.ac.uk,33.6505419,-117.8270531,Irvine,California,United States
University of Toronto,www.toronto.edu,43.6634620,-79.3977597,Toronto,Ontario,Canada
University of Zaragoza,www.unizar.es,41.6345573,-0.8997980,Zaragoza,Aragón,España
Victoria University of Wellington,www.vuw.ac.nz,-36.8482415,174.7677560,Waitematā,Auckland,New Zealand / Aotearoa
Worcester Polytechnic Institute,www.wpi.edu,42.2743150,-71.8084567,Worcester,Massachusetts,United States
