Domain,Country,IP_Country,IP,RTT_median,Distance_WPI_to_LatLong,Distance_WPI_to_IP_LatLong,Distance_LatLong_to_IP_LatLong
www.cam.ac.uk,United Kingdom,US,23.185.0.3,17.0,5308.768700571648,4273.273918472795,8567.480458633849
www.ethz.ch,Schweiz/Suisse/Svizzera/Svizra,CH,129.132.19.216,86.5,6071.609868957841,6074.762581967239,5.257584945407446
www.gonzaga.edu,United States,US,20.72.217.90,84.5,3583.429943565723,3731.850992709586,153.23659362349423
www.harvard.edu,United States,US,192.0.66.20,20.0,57.29677260416474,4274.988814073094,4328.445013267176
www.hmc.edu,United States,US,66.33.202.112,80.0,4061.94690667156,4023.1769317443172,1337.8573428231266
www.iitm.ac.in,India,IN,103.158.42.45,340.5,13238.012427918677,13230.681478189168,7.977593242050991
www.kyoto-u.ac.jp,Japan,US,146.75.30.132,19.0,10973.367706453811,598.5582896298487,11097.8759610957
www.nus.edu.sg,Singapore,US,45.60.31.225,17.0,15150.053794072783,4275.641080919096,13612.565130507968
www.sorbonne-universite.fr,France,US,151.101.130.216,19.0,5588.207858839608,4273.744895982703,8954.58461007358
www.toronto.edu,Canada,CA,128.100.5.23,23.0,636.3098245478424,637.3397631252918,4.77497245209434
www.tsinghua.edu.cn,China,CN,101.6.15.66,258.5,10829.783097583811,10839.5750866128,12.382364902865758
www.ub.edu,España,ES,161.116.110.164,106.5,5923.568954259709,5941.822613053345,86.09461265152498
www.ubc.ca,Canada,US,3.167.69.48,19.0,3984.6026669157222,608.2791243601848,3765.2620104178436
www.ucla.edu,United States,US,3.171.61.25,18.0,4113.071645080521,608.2791243601848,3655.8365510197573
www.unam.mx,México,US,104.17.117.46,19.0,3622.9317020953763,4273.744895982703,3040.549897946806
www.und.edu,United States,US,134.129.183.70,49.0,2069.34140101607,2066.422326428837,2.9330809834505778
www.unimelb.edu.au,Australia,AU,2.58.104.11,18.0,16874.99864816364,16178.494180761047,717.3158604224448
www.unizar.es,España,ES,155.210.11.203,97.0,5683.427428684591,5731.815512919477,144.37176625838083
www.vuw.ac.nz,New Zealand / Aotearoa,NZ,130.195.2.29,239.0,14422.193489535985,14640.815868120797,493.5240934267167
www.wpi.edu,United States,US,184.73.245.212,17.5,0.04453640356263792,598.5582896298487,598.5412115190787
